Provinces, 1: Participation at Local Levels,1.1: Civic Knowledge,1.2: Opportunities for Participation in Elections,1.3: Quality of Village Head Elections,1.4: Voluntary Contributions,2: Transparency of Local Decision-making,2.1: Access to Information,2.2: Poverty List Transparency,2.3: Communal Budget Transparency,3: Vertical Accountability,3.1: Interactions With Local Authorities,3.2: Governments Responsive to Citizen Appeals,3.3: Access to Justice Services,4: Control of Corruption in the Public Sector,4.1: Limits on Corruption in Local Governments,4.2: Limits on Corruption in Service Delivery,4.3: Equity in State Employment,4.4: Willingness to Fight Corruption,5: Public Administrative Procedures,5.1: Certification Procedures,5.2: Construction Permits,5.3: Land Tittle Procedures,5.4: Personal Procedures,6: Public Service Delivery,6.1: Public Healthcare,6.2: Primary Education,6.3: Basic Infrastructure,6.4: Law and Order
Ha Noi,5.05,1.07,1.46,1.60,0.93,5.22,1.81,1.73,1.68,5.58,1.77,1.78,2.03,4.99,1.15,1.53,0.63,1.68,6.53,1.35,1.80,1.56,1.82,6.72,1.60,1.60,1.93,1.60
Ha Giang,3.92,0.62,1.31,1.24,0.76,5.14,2.20,1.48,1.46,4.70,1.53,1.61,1.56,4.76,1.09,1.53,0.58,1.55,6.34,1.39,1.77,1.52,1.67,6.86,2.10,1.81,1.30,1.65
Cao Bang,4.53,0.87,1.48,1.37,0.81,5.92,2.62,1.82,1.48,4.81,1.67,1.53,1.61,5.40,1.32,1.65,0.80,1.63,6.51,1.49,1.75,1.50,1.76,6.68,2.03,1.64,1.38,1.63
Bac Kan,4.72,0.95,1.42,1.59,0.76,5.85,2.36,1.77,1.73,5.31,1.81,1.66,1.84,5.48,1.50,1.57,0.64,1.78,6.76,1.73,1.64,1.44,1.94,6.78,2.01,1.64,1.46,1.67
Tuyen Quang,5.13,1.01,1.48,1.71,0.92,6.13,2.60,1.87,1.66,4.99,1.42,1.87,1.70,6.11,1.48,1.80,1.08,1.75,6.96,1.51,1.75,1.74,1.96,7.24,1.95,1.88,1.67,1.73
Lao Cai,4.50,0.84,1.38,1.45,0.83,5.94,2.24,2.01,1.70,5.99,1.93,1.87,2.19,5.20,1.21,1.48,0.85,1.65,6.98,1.64,1.80,1.62,1.93,7.12,2.03,1.85,1.51,1.73
Dien Bien,4.61,0.94,1.64,1.52,0.50,5.85,2.63,1.77,1.45,5.72,1.82,2.02,1.88,5.42,1.45,1.67,0.75,1.56,6.74,1.55,1.73,1.53,1.93,6.92,1.92,1.65,1.70,1.65
Lai Chau,3.75,0.68,1.19,1.38,0.51,4.89,1.81,1.63,1.46,5.62,1.61,2.04,1.97,5.04,1.26,1.57,0.81,1.40,7.12,1.65,1.93,1.66,1.88,6.34,2.01,1.35,1.27,1.71
Son La,4.81,0.94,1.56,1.58,0.73,5.24,2.23,1.86,1.16,5.96,1.84,2.08,2.04,5.87,1.49,1.74,1.00,1.63,6.76,1.61,1.78,1.45,1.92,6.86,2.00,1.65,1.50,1.71
Yen Bai,4.16,0.83,1.24,1.26,0.83,4.97,1.63,1.68,1.65,5.55,1.93,1.81,1.80,4.96,1.27,1.51,0.64,1.54,6.87,1.55,1.77,1.64,1.92,6.45,1.77,1.60,1.55,1.53
